category,concept_id,fi,score,lookback
Diabetes,3522479,efi,1,3
Diabetes,4334884,efi,1,3
Diabetes,4101892,efi,1,3
Diabetes,443734,efi,1,3
Diabetes,443412,efi,1,3
Diabetes,44803911,efi,1,3
Diabetes,443735,efi,1,3
Diabetes,4193704,efi,1,3
Diabetes,442793,efi,1,3
Diabetes,201254,efi,1,3
Diabetes,4099215,efi,1,3
Diabetes,4017048,efi,1,3
Diabetes,44788733,efi,1,3
Diabetes,4222876,efi,1,3
Diabetes,4175440,efi,1,3
Diabetes,37110165,efi,1,3
Diabetes,440922,efi,1,3
Diabetes,376065,efi,1,3
Diabetes,4236285,efi,1,3
Diabetes,40350837,efi,1,3
Diabetes,4016042,efi,1,3
Diabetes,4099216,efi,1,3
Diabetes,43531563,efi,1,3
Dizziness,4077223,efi,1,1
Dizziness,4079560,efi,1,1
Dizziness,78162,efi,1,1
Dizziness,4012520,efi,1,1
Dizziness,4335747,efi,1,1
Dizziness,4198449,efi,1,1
Dizziness,81303,efi,1,1
Dizziness,4077983,efi,1,1
Dizziness,4141386,efi,1,1
Dizziness,4223938,efi,1,1
Dizziness,40302079,efi,1,1
Dizziness,4194391,efi,1,1
Dizziness,4337454,efi,1,1
Dizziness,79833,efi,1,1
Dizziness,4111253,efi,1,1
Dizziness,81878,efi,1,1
Dizziness,4335745,efi,1,1
Dizziness,4319017,efi,1,1
Dizziness,433316,efi,1,1
Dizziness,439383,efi,1,1
Dizziness,4196201,efi,1,1
Dizziness,4147179,efi,1,1
Dizziness,40332732,efi,1,1
Dizziness,4335746,efi,1,1
Dizziness,4111254,efi,1,1
Dizziness,4224944,efi,1,1
Dyspnoea,4041664,efi,1,1
Dyspnoea,4059022,efi,1,1
Dyspnoea,4060439,efi,1,1
Dyspnoea,4060052,efi,1,1
Dyspnoea,4310172,efi,1,1
Dyspnoea,4263848,efi,1,1
Dyspnoea,4059021,efi,1,1
Dyspnoea,312437,efi,1,1
Falls,4184243,efi,1,1
Falls,4087528,efi,1,1
Falls,4059015,efi,1,1
Falls,44790998,efi,1,1
Falls,4310026,efi,1,1
Falls,437175,efi,1,1
Falls,435991,efi,1,1
Falls,4185197,efi,1,1
Falls,44791740,efi,1,1
Falls,44791368,efi,1,1
Foot problems,4143127,efi,1,1
Foot problems,4168775,efi,1,1
Foot problems,4067069,efi,1,1
Foot problems,4126101,efi,1,1
Foot problems,137063,efi,1,1
Foot problems,4136647,efi,1,1
Foot problems,4064062,efi,1,1
Foot problems,4085778,efi,1,1
Foot problems,4053100,efi,1,1
Fragility fracture,4047787,efi,1,3
Fragility fracture,4170313,efi,1,3
Fragility fracture,438269,efi,1,3
Fragility fracture,4343558,efi,1,3
Fragility fracture,40262821,efi,1,3
Fragility fracture,4017669,efi,1,3
Fragility fracture,4188615,efi,1,3
Fragility fracture,4347301,efi,1,3
Fragility fracture,4013597,efi,1,3
Fragility fracture,4049285,efi,1,3
Fragility fracture,40480160,efi,1,3
Fragility fracture,4015496,efi,1,3
Fragility fracture,4278672,efi,1,3
Fragility fracture,4015081,efi,1,3
Fragility fracture,4013155,efi,1,3
Fragility fracture,434500,efi,1,3
Fragility fracture,4012285,efi,1,3
Fragility fracture,4075914,efi,1,3
Fragility fracture,4134322,efi,1,3
Fragility fracture,4307182,efi,1,3
Fragility fracture,4199800,efi,1,3
Fragility fracture,4211987,efi,1,3
Fragility fracture,4079102,efi,1,3
Fragility fracture,4015764,efi,1,3
Fragility fracture,4010070,efi,1,3
Fragility fracture,4013612,efi,1,3
Fragility fracture,4138277,efi,1,3
Fragility fracture,437993,efi,1,3
Fragility fracture,4013747,efi,1,3
Fragility fracture,435950,efi,1,3
Fragility fracture,4009286,efi,1,3
Fragility fracture,4222001,efi,1,3
Fragility fracture,40557748,efi,1,3
Fragility fracture,433856,efi,1,3
Fragility fracture,4209549,efi,1,3
Fragility fracture,4187096,efi,1,3
Fragility fracture,4008356,efi,1,3
Fragility fracture,4018351,efi,1,3
Fragility fracture,40407445,efi,1,3
Fragility fracture,4343342,efi,1,3
Fragility fracture,442560,efi,1,3
Fragility fracture,4193154,efi,1,3
Fragility fracture,4013613,efi,1,3
Fragility fracture,4013596,efi,1,3
Fragility fracture,4008510,efi,1,3
Fragility fracture,4133012,efi,1,3
Fragility fracture,40562306,efi,1,3
Fragility fracture,4103168,efi,1,3
Fragility fracture,4199545,efi,1,3
Fragility fracture,4015976,efi,1,3
Fragility fracture,4013601,efi,1,3
Fragility fracture,4209104,efi,1,3
Fragility fracture,136834,efi,1,3
Fragility fracture,4009606,efi,1,3
Fragility fracture,4192270,efi,1,3
Fragility fracture,4009607,efi,1,3
Fragility fracture,4013158,efi,1,3
Fragility fracture,4085250,efi,1,3
Fragility fracture,4015503,efi,1,3
Fragility fracture,4346399,efi,1,3
Fragility fracture,439946,efi,1,3
Fragility fracture,442598,efi,1,3
Fragility fracture,437703,efi,1,3
Fragility fracture,4011657,efi,1,3
Fragility fracture,437402,efi,1,3
Fragility fracture,40408569,efi,1,3
Fragility fracture,4149547,efi,1,3
Fragility fracture,73571,efi,1,3
Fragility fracture,4194599,efi,1,3
Fragility fracture,4012433,efi,1,3
Fragility fracture,4083822,efi,1,3
Fragility fracture,4195932,efi,1,3
Fragility fracture,4008220,efi,1,3
Fragility fracture,40562308,efi,1,3
Fragility fracture,40557749,efi,1,3
Fragility fracture,4083820,efi,1,3
Fragility fracture,4151707,efi,1,3
Fragility fracture,4174520,efi,1,3
Fragility fracture,4167913,efi,1,3
Fragility fracture,4079114,efi,1,3
Fragility fracture,4076334,efi,1,3
Fragility fracture,4015981,efi,1,3
Fragility fracture,4346396,efi,1,3
Fragility fracture,440863,efi,1,3
Fragility fracture,4001458,efi,1,3
Fragility fracture,44791986,efi,1,3
Fragility fracture,4144784,efi,1,3
Fragility fracture,4343476,efi,1,3
Fragility fracture,434493,efi,1,3
Fragility fracture,40399864,efi,1,3
Fragility fracture,4015501,efi,1,3
Fragility fracture,4046019,efi,1,3
Fragility fracture,4207924,efi,1,3
Fragility fracture,4013604,efi,1,3
Fragility fracture,4013605,efi,1,3
Fragility fracture,195948,efi,1,3
Fragility fracture,4085890,efi,1,3
Fragility fracture,4076202,efi,1,3
Fragility fracture,4144424,efi,1,3
Fragility fracture,4085377,efi,1,3
Fragility fracture,40262909,efi,1,3
Fragility fracture,40407398,efi,1,3
Fragility fracture,436248,efi,1,3
Fragility fracture,4077624,efi,1,3
Fragility fracture,4015495,efi,1,3
Fragility fracture,4012436,efi,1,3
Fragility fracture,4015494,efi,1,3
Fragility fracture,4131595,efi,1,3
Fragility fracture,4015502,efi,1,3
Fragility fracture,4210556,efi,1,3
Fragility fracture,40407425,efi,1,3
Fragility fracture,4009296,efi,1,3
Fragility fracture,4079100,efi,1,3
Fragility fracture,4346398,efi,1,3
Fragility fracture,4053828,efi,1,3
Fragility fracture,4085898,efi,1,3
Fragility fracture,4307813,efi,1,3
Fragility fracture,4167914,efi,1,3
Fragility fracture,40408241,efi,1,3
Fragility fracture,4150726,efi,1,3
Fragility fracture,4069525,efi,1,3
Fragility fracture,40557750,efi,1,3
Fragility fracture,434767,efi,1,3
Fragility fracture,4085893,efi,1,3
Fragility fracture,4010376,efi,1,3
