"age_group","is_female","category","N","count","percent"
"[75,80)",1,"Arthritis",8225,3543,0.430759878419453
"[80,100]",0,"Arthritis",5447,2103,0.386084082981458
"[80,100]",1,"Arthritis",5778,2641,0.457078573901004
"[40,45)",0,"CAD",6510,339,0.052073732718894
"[40,45)",1,"CAD",13069,459,0.035121279363379
"[45,50)",0,"CAD",7521,586,0.0779151708549395
"[45,50)",1,"CAD",13729,734,0.0534634714837206
"[50,55)",0,"CAD",9542,1034,0.108363026619157
"[50,55)",1,"CAD",16444,1168,0.07102894672829
"[55,60)",0,"CAD",12063,1587,0.131559313603581
"[55,60)",1,"CAD",19021,1599,0.0840649808106829
"[60,65)",0,"CAD",12801,2203,0.172095930005468
"[60,65)",1,"CAD",18803,1994,0.106046907408392
"[65,70)",0,"CAD",12266,2649,0.215962824066525
"[65,70)",1,"CAD",17867,2197,0.12296412380366
"[70,75)",0,"CAD",11053,2859,0.258662806477879
"[70,75)",1,"CAD",14077,2157,0.15322867088158
"[75,80)",0,"CAD",7352,2293,0.311887921653972
"[75,80)",1,"CAD",8225,1547,0.188085106382979
"[80,100]",0,"CAD",5447,1971,0.361850559941252
"[80,100]",1,"CAD",5778,1312,0.227068189685012
"[40,45)",0,"CVA",6510,144,0.0221198156682028
"[40,45)",1,"CVA",13069,297,0.0227255337057158
"[45,50)",0,"CVA",7521,275,0.0365642866640074
"[45,50)",1,"CVA",13729,424,0.0308835312113045
"[50,55)",0,"CVA",9542,420,0.0440159295745127
"[50,55)",1,"CVA",16444,619,0.037642909267818
"[55,60)",0,"CVA",12063,691,0.0572825996849872
"[55,60)",1,"CVA",19021,962,0.0505756795121182
"[60,65)",0,"CVA",12801,866,0.0676509647683775
"[60,65)",1,"CVA",18803,1149,0.0611072701164708
"[65,70)",0,"CVA",12266,1043,0.0850317952062612
"[65,70)",1,"CVA",17867,1237,0.0692337829518106
"[70,75)",0,"CVA",11053,1097,0.0992490726499593
"[70,75)",1,"CVA",14077,1287,0.0914257299140442
"[75,80)",0,"CVA",7352,965,0.131256800870511
"[75,80)",1,"CVA",8225,925,0.112462006079027
"[80,100]",0,"CVA",5447,884,0.162291169451074
"[80,100]",1,"CVA",5778,908,0.157147802007615
"[40,45)",0,"Cancer",6510,192,0.0294930875576037
"[40,45)",1,"Cancer",13069,581,0.0444563470808784
"[45,50)",0,"Cancer",7521,308,0.0409520010636883
"[45,50)",1,"Cancer",13729,916,0.066720081579139
"[50,55)",0,"Cancer",9542,588,0.0616223014043178
"[50,55)",1,"Cancer",16444,1395,0.0848333738749696
"[55,60)",0,"Cancer",12063,1017,0.0843073862223327
"[55,60)",1,"Cancer",19021,1714,0.0901109300247095
"[60,65)",0,"Cancer",12801,1452,0.113428638387626
"[60,65)",1,"Cancer",18803,2162,0.114981651864064
"[65,70)",0,"Cancer",12266,2033,0.165742703407794
"[65,70)",1,"Cancer",17867,2387,0.133598253763922
"[70,75)",0,"Cancer",11053,2243,0.2029313308604
"[70,75)",1,"Cancer",14077,2312,0.164239539674647
"[75,80)",0,"Cancer",7352,1592,0.216539717083787
"[75,80)",1,"Cancer",8225,1411,0.171550151975684
"[80,100]",0,"Cancer",5447,1255,0.230402056177713
"[80,100]",1,"Cancer",5778,977,0.169089650398062
"[40,45)",0,"Chronpain",6510,614,0.0943164362519201
"[40,45)",1,"Chronpain",13069,1747,0.133675109036652
"[45,50)",0,"Chronpain",7521,873,0.116074990027922
"[45,50)",1,"Chronpain",13729,2133,0.155364556777624
"[50,55)",0,"Chronpain",9542,1113,0.116642213372459
"[50,55)",1,"Chronpain",16444,2804,0.170518122111408
"[55,60)",0,"Chronpain",12063,1535,0.12724861145652
"[55,60)",1,"Chronpain",19021,3234,0.170022606592713
"[60,65)",0,"Chronpain",12801,1721,0.134442621670182
"[60,65)",1,"Chronpain",18803,3272,0.174014784874754
"[65,70)",0,"Chronpain",12266,1509,0.123022990379912
"[65,70)",1,"Chronpain",17867,2916,0.163205910337494
"[70,75)",0,"Chronpain",11053,1228,0.111101058536144
"[70,75)",1,"Chronpain",14077,2369,0.168288697875968
"[75,80)",0,"Chronpain",7352,798,0.10854189336235
"[75,80)",1,"Chronpain",8225,1366,0.166079027355623
"[80,100]",0,"Chronpain",5447,584,0.107214980723334
"[80,100]",1,"Chronpain",5778,956,0.165455174800969
"[40,45)",0,"Dementia",6510,522,0.080184331797235
"[40,45)",1,"Dementia",13069,760,0.0581528808631112
"[45,50)",0,"Dementia",7521,687,0.0913442361388113
